store_name,address,Latitude,Longitude,district,district_en
밀숲노량진역점,서울 동작구 노량진동 123-8,37.5113373,126.9448679,동작구,dongjak_gu
뉴욕야시장 한양대점,서울 성동구 행당동 19-7,37.5592924,127.0398973,성동구,seongdong_gu
제주올레포차 2호점,서울 성동구 성수동1가 13-106,37.5490684,127.0485543,성동구,seongdong_gu
떡이랑한과랑,서울 성동구 성수동1가 13-104,37.5489175,127.048284,성동구,seongdong_gu
해양,서울 성동구 금호동4가 235,37.5461582,127.0240435,성동구,seongdong_gu
서박사부대찌개,서울 성동구 금호동2가 510-2,37.5520121,127.0195019,성동구,seongdong_gu
오늘더만족,서울 성동구 금호동3가 811,37.5484462,127.0208977,성동구,seongdong_gu
순희냉면,서울 광진구 자양동 4-7,37.5385345,127.0671905,광진구,gwangjin_gu
엄마손키친 (브로스치킨),서울 성동구 행당동 19-54,37.5594649,127.0405472,성동구,seongdong_gu
청년감자탕,서울 성동구 행당동 19-48,37.5599259,127.0405236,성동구,seongdong_gu
하노이별 노량진점,서울 동작구 노량진동 40-43,37.5130711,126.9380411,동작구,dongjak_gu
고기반햄반김치찌개 성동구,서울 성동구 금호동3가 1302,37.5484669,127.0183424,성동구,seongdong_gu
잇샐러드 성수점,서울 성동구 성수동2가 300-8,37.5458402,127.0535211,성동구,seongdong_gu
후후마켓,서울 동작구 대방동 380-122,37.5031703,126.9235644,동작구,dongjak_gu
이고집쭈꾸미,서울 동작구 신대방동 361-57,37.4977125,126.9244968,동작구,dongjak_gu
천국이네,서울 마포구 연남동 567-6,37.5599559,126.9215081,마포구,mapo_gu
구름계란덮밥,서울 마포구 도화동 536,37.5425213,126.9473562,마포구,mapo_gu
리김밥 신촌점,서울 마포구 노고산동 57-50,37.5541234,126.9347524,마포구,mapo_gu
만나칼국수,서울 용산구 청파동2가 35-6,37.5454284,126.9693645,용산구,yongsan_gu
소홍우 마라탕,서울 마포구 서교동 394-14,37.5490235,126.9164627,마포구,mapo_gu
무침프로젝트,서울 마포구 망원동 411-22,37.5563181,126.906023,마포구,mapo_gu
친구친구,서울 성동구 도선동 69,37.5643927,127.0349365,성동구,seongdong_gu
용담애,서울 송파구 거여동 597,37.484307,127.1386345,송파구,songpa_gu
죠스떡볶이상암디지털큐브점,서울 마포구 상암동 1647,37.5761672,126.8892159,마포구,mapo_gu
홍콩반점0410 상암디엠씨점,서울 마포구 상암동 1597,37.5813283,126.888557,마포구,mapo_gu
고수찜닭 용산,서울 용산구 청파동3가 24-64,37.5443733,126.9689203,용산구,yongsan_gu
구복만두,서울 용산구 남영동 3-4,37.5450925,126.9732271,용산구,yongsan_gu
치꼬뱅 마포,서울 마포구 망원동 475-46,37.5599907,126.9031136,마포구,mapo_gu
온샐러드앤포케,서울 마포구 성산동 591-6,37.5652664,126.9028609,마포구,mapo_gu
장수한방족발,서울 마포구 망원동 486-36,37.5570508,126.9060211,마포구,mapo_gu
술에빠진노가리,서울 성동구 행당동 298-40,37.5600487,127.0330738,성동구,seongdong_gu
신안동장,서울 마포구 연남동 487-366,37.5613059,126.9183246,마포구,mapo_gu
고려왕족발.보쌈,서울 마포구 망원동 414-108,37.5560107,126.9063372,마포구,mapo_gu
포도원삼계탕,서울 마포구 대흥동 250-2,37.5473062,126.9417759,마포구,mapo_gu
삼대,서울 마포구 망원동 378-6,37.5549355,126.910412,마포구,mapo_gu
신림원조김밥,서울 관악구 신림동 1602-1,37.4816482,126.9279631,관악구,gwanak_gu
청년찌개,서울 마포구 성산동 293-2,37.5581647,126.9095721,마포구,mapo_gu
마부마라탕엔마라샹궈,서울 용산구 후암동 116-27,37.5501609,126.975497,용산구,yongsan_gu
봉대박파스타앤찜닭,서울 마포구 서교동 486,37.5537933,126.9236946,마포구,mapo_gu
떡볶이는튀김빨,서울 마포구 공덕동 111-359,37.5478163,126.9599318,마포구,mapo_gu
전설의등갈비앤김치찜,서울 마포구 서교동 358-95,37.5529191,126.9233355,마포구,mapo_gu
벨로스테이,서울 마포구 상수동 341-3,37.545953,126.9224612,마포구,mapo_gu
최신족발,서울 광진구 화양동 34-3,37.5436276,127.0693523,광진구,gwangjin_gu
할매보쌈부대찌개,서울 용산구 원효로2가 91-11,37.5353001,126.9605214,용산구,yongsan_gu
월간미식,서울 용산구 용문동 28-20,37.5371745,126.9603309,용산구,yongsan_gu
호화반점,서울 용산구 원효로2가 27-10,37.5363735,126.9638111,용산구,yongsan_gu
마녀찜닭,서울 용산구 보광동 246-2,37.5293386,126.9982403,용산구,yongsan_gu
창성옥,서울 용산구 용문동 25-16,37.5363759,126.9604152,용산구,yongsan_gu
천하뼈다귀,서울 용산구 보광동 81-1,37.5259616,127.0008645,용산구,yongsan_gu
빙고코다리 아구찜,서울 용산구 보광동 217-16,37.5261724,126.9983127,용산구,yongsan_gu
가정식 백반,서울 용산구 청파동3가 111-59,37.5445488,126.9669482,용산구,yongsan_gu
이촌삼계탕,서울 용산구 이촌동 302-64,37.5200744,126.9676856,용산구,yongsan_gu
한사바리해장국,서울 마포구 창전동 2-31,37.5537255,126.9326366,마포구,mapo_gu
미당푸드,서울 서초구 양재동 15-10,37.4808326,127.0388864,서초구,seocho_gu
피슈마라홍탕 신촌점,서울 서대문구 창천동 72-12,37.5563335,126.9348124,서대문구,seodaemun_gu
방배송이족발,서울 서초구 방배동 777-5,37.4938353,126.9864959,서초구,seocho_gu
송가네보쌈,서울 서초구 방배동 911-20,37.4822407,126.9960407,서초구,seocho_gu
삼겹전문소년배달돼지 강남점,서울 서초구 반포동 731-27,37.5055692,127.0194651,서초구,seocho_gu
돈삼촌 김치찜 역삼점,서울 강남구 역삼동 719-24,37.500858,127.0405881,강남구,gangnam_gu
