,store_name,address,district,district_en
278,마라탕입구,서울 관악구 신림동 1639-19,관악구,gwanak_gu
279,유진감자탕,서울 서대문구 홍제동 253-12,서대문구,seodaemun_gu
280,두마리찜닭 두찜 보라매점,서울 관악구 봉천동 708-2,관악구,gwanak_gu
281,알찬제육봉천신림점,서울 관악구 봉천동 957-32,관악구,gwanak_gu
282,아차산매운떡볶이 본점,서울 광진구 자양동 859,광진구,gwangjin_gu
283,행복한조개맛집,서울 관악구 신림동 1587-12,관악구,gwanak_gu
284,탄탄숯불구이,서울 마포구 망원동 517,마포구,mapo_gu
285,앨리스의토끼굴,서울 송파구 석촌동 24-3,송파구,songpa_gu
286,구미호마라탕 봉천점,서울 관악구 봉천동 923-3,관악구,gwanak_gu
287,태가커피,서울 마포구 서교동 400-26,마포구,mapo_gu
288,두번먹는 명인김치찜 삼전점,서울 송파구 삼전동 61-14,송파구,songpa_gu
289,30년 불멸의 닭발 삼전점,서울 송파구 삼전동 61-14,송파구,songpa_gu
290,도가방,서울 송파구 문정동 620,송파구,songpa_gu
291,명운추어탕,서울 관악구 신림동 110-83,관악구,gwanak_gu
292,마라포차,서울 관악구 신림동 1525-6,관악구,gwanak_gu
293,호세야 오리바베큐 (만나푸드),서울 관악구 신림동 598-209,관악구,gwanak_gu
294,커피타다,서울 광진구 구의동 237-49,광진구,gwangjin_gu
295,등촌식당,서울 강서구 등촌동 509-3,강서구,gangseo_gu
296,밥술술,서울 영등포구 양평동4가 94,영등포구,yeongdeungpo_gu
297,양푼이동태탕,서울 영등포구 양평동4가 153-6,영등포구,yeongdeungpo_gu
298,양소원,서울 영등포구 양평동4가 32-3,영등포구,yeongdeungpo_gu
299,민코,서울 영등포구 양평동4가 22-1,영등포구,yeongdeungpo_gu
300,대박삼겹김치찜&초대박등갈비김치찜,서울 영등포구 당산동4가 37-5,영등포구,yeongdeungpo_gu
301,에펠샐러드,서울 강서구 마곡동 758,강서구,gangseo_gu
302,오마뎅 당산 래미안점,서울 영등포구 당산동5가 11-34,영등포구,yeongdeungpo_gu
